pair_subj,pair_emo,subj_i,subj_j,emotion1,emotion2,matched,same_culture,rho
"('P0', 'P12')","('happiness', 'fear')",P0,P12,happiness,fear,False,True,0.07148262652718988
"('P0', 'P12')","('happiness', 'anger')",P0,P12,happiness,anger,False,True,-0.21593351182990247
"('P0', 'P12')","('happiness', 'disgust')",P0,P12,happiness,disgust,False,True,0.15526479077643437
"('P0', 'P12')","('happiness', 'sadness')",P0,P12,happiness,sadness,False,True,-0.3389972554751954
"('P0', 'P12')","('happiness', 'happiness')",P0,P12,happiness,happiness,True,True,-0.23866278085672385
"('P0', 'P12')","('happiness', 'surprise')",P0,P12,happiness,surprise,False,True,0.3198836083554562
"('P0', 'P12')","('surprise', 'neutral')",P0,P12,surprise,neutral,False,True,-0.23951720595887455
"('P0', 'P12')","('surprise', 'fear')",P0,P12,surprise,fear,False,True,0.4565966409429265
"('P0', 'P12')","('surprise', 'anger')",P0,P12,surprise,anger,False,True,-0.00741918901355764
"('P0', 'P12')","('surprise', 'disgust')",P0,P12,surprise,disgust,False,True,0.21972877743911895
"('P0', 'P12')","('surprise', 'sadness')",P0,P12,surprise,sadness,False,True,-0.05088069350519838
"('P0', 'P12')","('surprise', 'happiness')",P0,P12,surprise,happiness,False,True,-0.138544059088127
"('P0', 'P12')","('surprise', 'surprise')",P0,P12,surprise,surprise,True,True,0.33959956776738554
"('P0', 'P13')","('neutral', 'neutral')",P0,P13,neutral,neutral,True,True,-0.0650309730374103
"('P0', 'P13')","('neutral', 'fear')",P0,P13,neutral,fear,False,True,0.029357968266745325
"('P0', 'P13')","('neutral', 'anger')",P0,P13,neutral,anger,False,True,-0.030986248667947663
"('P0', 'P13')","('neutral', 'disgust')",P0,P13,neutral,disgust,False,True,0.0022797335697587783
"('P0', 'P13')","('neutral', 'sadness')",P0,P13,neutral,sadness,False,True,0.0256158567001871
"('P0', 'P13')","('neutral', 'happiness')",P0,P13,neutral,happiness,False,True,-0.01591527067943717
"('P0', 'P13')","('neutral', 'surprise')",P0,P13,neutral,surprise,False,True,-0.09275072317889113
"('P0', 'P13')","('fear', 'neutral')",P0,P13,fear,neutral,False,True,0.05474461617710808
"('P0', 'P13')","('fear', 'fear')",P0,P13,fear,fear,True,True,0.12573748562721293
"('P0', 'P13')","('fear', 'anger')",P0,P13,fear,anger,False,True,0.22029449904206405
"('P0', 'P13')","('fear', 'disgust')",P0,P13,fear,disgust,False,True,0.23320714941572457
"('P0', 'P13')","('fear', 'sadness')",P0,P13,fear,sadness,False,True,-0.033169551102241006
"('P0', 'P13')","('fear', 'happiness')",P0,P13,fear,happiness,False,True,0.047953547519764994
"('P0', 'P13')","('fear', 'surprise')",P0,P13,fear,surprise,False,True,0.11185453091477543
"('P0', 'P13')","('anger', 'neutral')",P0,P13,anger,neutral,False,True,-0.09226581721936257
"('P0', 'P13')","('anger', 'fear')",P0,P13,anger,fear,False,True,0.14688688171254252
"('P0', 'P13')","('anger', 'anger')",P0,P13,anger,anger,True,True,0.13732805991108468
"('P0', 'P13')","('anger', 'disgust')",P0,P13,anger,disgust,False,True,0.13391174124863944
"('P0', 'P13')","('anger', 'sadness')",P0,P13,anger,sadness,False,True,0.011076740840743315
"('P0', 'P13')","('anger', 'happiness')",P0,P13,anger,happiness,False,True,0.16286753965548242
"('P0', 'P13')","('anger', 'surprise')",P0,P13,anger,surprise,False,True,0.08403582877755247
"('P0', 'P13')","('disgust', 'neutral')",P0,P13,disgust,neutral,False,True,0.0006000226811570266
"('P0', 'P13')","('disgust', 'fear')",P0,P13,disgust,fear,False,True,0.03355626219652721
"('P0', 'P13')","('disgust', 'anger')",P0,P13,disgust,anger,False,True,-0.005259500296967621
"('P0', 'P13')","('disgust', 'disgust')",P0,P13,disgust,disgust,True,True,0.15776574932388565
"('P0', 'P13')","('disgust', 'sadness')",P0,P13,disgust,sadness,False,True,-0.017581418840841884
"('P0', 'P13')","('disgust', 'happiness')",P0,P13,disgust,happiness,False,True,-0.02142899058402633
"('P0', 'P13')","('disgust', 'surprise')",P0,P13,disgust,surprise,False,True,0.006295386211309717
"('P0', 'P13')","('sadness', 'neutral')",P0,P13,sadness,neutral,False,True,-0.04338354224279032
"('P0', 'P13')","('sadness', 'fear')",P0,P13,sadness,fear,False,True,0.02405009077279347
"('P0', 'P13')","('sadness', 'anger')",P0,P13,sadness,anger,False,True,0.013438065197829184
"('P0', 'P13')","('sadness', 'disgust')",P0,P13,sadness,disgust,False,True,0.14130883763269425
"('P0', 'P13')","('sadness', 'sadness')",P0,P13,sadness,sadness,True,True,-0.005173090735912291
"('P0', 'P13')","('sadness', 'happiness')",P0,P13,sadness,happiness,False,True,0.010649479502360046
"('P0', 'P13')","('sadness', 'surprise')",P0,P13,sadness,surprise,False,True,0.05357413979918676
"('P0', 'P13')","('happiness', 'neutral')",P0,P13,happiness,neutral,False,True,0.051350199373333044
"('P0', 'P13')","('happiness', 'fear')",P0,P13,happiness,fear,False,True,0.05973025590402057
"('P0', 'P13')","('happiness', 'anger')",P0,P13,happiness,anger,False,True,0.015718177541317623
"('P0', 'P13')","('happiness', 'disgust')",P0,P13,happiness,disgust,False,True,0.16523620696037958
"('P0', 'P13')","('happiness', 'sadness')",P0,P13,happiness,sadness,False,True,-0.07956076424960977
"('P0', 'P13')","('happiness', 'happiness')",P0,P13,happiness,happiness,True,True,0.05838267480276567
"('P0', 'P13')","('happiness', 'surprise')",P0,P13,happiness,surprise,False,True,0.07368593251130402
"('P0', 'P13')","('surprise', 'neutral')",P0,P13,surprise,neutral,False,True,-0.07183141544336588
"('P0', 'P13')","('surprise', 'fear')",P0,P13,surprise,fear,False,True,0.06987035995838772
"('P0', 'P13')","('surprise', 'anger')",P0,P13,surprise,anger,False,True,0.12514783333820664
"('P0', 'P13')","('surprise', 'disgust')",P0,P13,surprise,disgust,False,True,0.017078606077102463
"('P0', 'P13')","('surprise', 'sadness')",P0,P13,surprise,sadness,False,True,-0.014059523844248318
"('P0', 'P13')","('surprise', 'happiness')",P0,P13,surprise,happiness,False,True,-0.020982113414020304
"('P0', 'P13')","('surprise', 'surprise')",P0,P13,surprise,surprise,True,True,0.02581051524635987
"('P0', 'P14')","('neutral', 'neutral')",P0,P14,neutral,neutral,True,True,-0.21963706594940277
"('P0', 'P14')","('neutral', 'fear')",P0,P14,neutral,fear,False,True,-0.17624394620639725
"('P0', 'P14')","('neutral', 'anger')",P0,P14,neutral,anger,False,True,-0.1530494507207207
"('P0', 'P14')","('neutral', 'disgust')",P0,P14,neutral,disgust,False,True,0.37362478085318596
"('P0', 'P14')","('neutral', 'sadness')",P0,P14,neutral,sadness,False,True,0.2651136455370273
"('P0', 'P14')","('neutral', 'happiness')",P0,P14,neutral,happiness,False,True,0.07485093112503374
"('P0', 'P14')","('neutral', 'surprise')",P0,P14,neutral,surprise,False,True,0.13143789660703975
"('P0', 'P14')","('fear', 'neutral')",P0,P14,fear,neutral,False,True,0.2782016513788998
"('P0', 'P14')","('fear', 'fear')",P0,P14,fear,fear,True,True,0.21630879729758562
"('P0', 'P14')","('fear', 'anger')",P0,P14,fear,anger,False,True,-0.062191480719936326
"('P0', 'P14')","('fear', 'disgust')",P0,P14,fear,disgust,False,True,0.1931524551453426
"('P0', 'P14')","('fear', 'sadness')",P0,P14,fear,sadness,False,True,0.2480166957206982
"('P0', 'P14')","('fear', 'happiness')",P0,P14,fear,happiness,False,True,-0.08682600277821471
"('P0', 'P14')","('fear', 'surprise')",P0,P14,fear,surprise,False,True,-0.12594611124530064
"('P0', 'P14')","('anger', 'neutral')",P0,P14,anger,neutral,False,True,0.1290442507943396
"('P0', 'P14')","('anger', 'fear')",P0,P14,anger,fear,False,True,0.25555977627784054
"('P0', 'P14')","('anger', 'anger')",P0,P14,anger,anger,True,True,0.0058363775531496635
"('P0', 'P14')","('anger', 'disgust')",P0,P14,anger,disgust,False,True,0.656342657785497
"('P0', 'P14')","('anger', 'sadness')",P0,P14,anger,sadness,False,True,0.6333957588467809
