pair_subj,pair_emo,subj_i,subj_j,emotion1,emotion2,matched,same_culture,rho
"('P0', 'P12')","('sadness', 'anger')",P0,P12,sadness,anger,False,True,-0.2856133280959462
"('P0', 'P12')","('sadness', 'disgust')",P0,P12,sadness,disgust,False,True,0.1724928271381421
"('P0', 'P12')","('sadness', 'sadness')",P0,P12,sadness,sadness,True,True,-0.2198680747843284
"('P0', 'P12')","('sadness', 'happiness')",P0,P12,sadness,happiness,False,True,-0.0158086999073862
"('P0', 'P12')","('sadness', 'surprise')",P0,P12,sadness,surprise,False,True,0.3122756581942184
"('P0', 'P12')","('happiness', 'neutral')",P0,P12,happiness,neutral,False,True,-0.3016070651550706
"('P0', 'P12')","('happiness', 'fear')",P0,P12,happiness,fear,False,True,0.067204853619269
"('P0', 'P12')","('happiness', 'anger')",P0,P12,happiness,anger,False,True,-0.2141290282774041
"('P0', 'P12')","('happiness', 'disgust')",P0,P12,happiness,disgust,False,True,0.1539519694213507
"('P0', 'P12')","('happiness', 'sadness')",P0,P12,happiness,sadness,False,True,-0.3363865632780385
"('P0', 'P12')","('happiness', 'happiness')",P0,P12,happiness,happiness,True,True,-0.2353711849492581
"('P0', 'P12')","('happiness', 'surprise')",P0,P12,happiness,surprise,False,True,0.3165933972345466
"('P0', 'P12')","('surprise', 'neutral')",P0,P12,surprise,neutral,False,True,-0.2378250080850774
"('P0', 'P12')","('surprise', 'fear')",P0,P12,surprise,fear,False,True,0.4553411046512642
"('P0', 'P12')","('surprise', 'anger')",P0,P12,surprise,anger,False,True,-0.014504177130357
"('P0', 'P12')","('surprise', 'disgust')",P0,P12,surprise,disgust,False,True,0.2174552378702006
"('P0', 'P12')","('surprise', 'sadness')",P0,P12,surprise,sadness,False,True,-0.0502013959437997
"('P0', 'P12')","('surprise', 'happiness')",P0,P12,surprise,happiness,False,True,-0.1433046941478857
"('P0', 'P12')","('surprise', 'surprise')",P0,P12,surprise,surprise,True,True,0.3429839200771337
"('P0', 'P14')","('neutral', 'neutral')",P0,P14,neutral,neutral,True,True,-0.2223683150921571
"('P0', 'P14')","('neutral', 'fear')",P0,P14,neutral,fear,False,True,-0.1764655087939419
"('P0', 'P14')","('neutral', 'anger')",P0,P14,neutral,anger,False,True,-0.146723281383234
"('P0', 'P14')","('neutral', 'disgust')",P0,P14,neutral,disgust,False,True,0.3682247988616136
"('P0', 'P14')","('neutral', 'sadness')",P0,P14,neutral,sadness,False,True,0.2598512724746961
"('P0', 'P14')","('neutral', 'happiness')",P0,P14,neutral,happiness,False,True,0.0747386623170612
"('P0', 'P14')","('neutral', 'surprise')",P0,P14,neutral,surprise,False,True,0.1306791368628594
"('P0', 'P14')","('fear', 'neutral')",P0,P14,fear,neutral,False,True,0.2692574503473852
"('P0', 'P14')","('fear', 'fear')",P0,P14,fear,fear,True,True,0.2176272195757946
"('P0', 'P14')","('fear', 'anger')",P0,P14,fear,anger,False,True,-0.0659143418594089
"('P0', 'P14')","('fear', 'disgust')",P0,P14,fear,disgust,False,True,0.1926824682994308
"('P0', 'P14')","('fear', 'sadness')",P0,P14,fear,sadness,False,True,0.2517442818565548
"('P0', 'P14')","('fear', 'happiness')",P0,P14,fear,happiness,False,True,-0.0840715198933789
"('P0', 'P14')","('fear', 'surprise')",P0,P14,fear,surprise,False,True,-0.1284198681459845
"('P0', 'P14')","('anger', 'neutral')",P0,P14,anger,neutral,False,True,0.122838519507972
"('P0', 'P14')","('anger', 'fear')",P0,P14,anger,fear,False,True,0.2554043060145892
"('P0', 'P14')","('anger', 'anger')",P0,P14,anger,anger,True,True,0.000692516489831
"('P0', 'P14')","('anger', 'disgust')",P0,P14,anger,disgust,False,True,0.6549870251008933
"('P0', 'P14')","('anger', 'sadness')",P0,P14,anger,sadness,False,True,0.6340185732055597
"('P0', 'P14')","('anger', 'happiness')",P0,P14,anger,happiness,False,True,0.1133387608207868
"('P0', 'P14')","('anger', 'surprise')",P0,P14,anger,surprise,False,True,0.2062895785697714
"('P0', 'P14')","('disgust', 'neutral')",P0,P14,disgust,neutral,False,True,-0.1988513755360077
"('P0', 'P14')","('disgust', 'fear')",P0,P14,disgust,fear,False,True,-0.2132414726667126
"('P0', 'P14')","('disgust', 'anger')",P0,P14,disgust,anger,False,True,-0.2934552939691768
"('P0', 'P14')","('disgust', 'disgust')",P0,P14,disgust,disgust,True,True,0.1782901654039548
"('P0', 'P14')","('disgust', 'sadness')",P0,P14,disgust,sadness,False,True,0.1056593325009707
"('P0', 'P14')","('disgust', 'happiness')",P0,P14,disgust,happiness,False,True,-0.099564999326881
"('P0', 'P14')","('disgust', 'surprise')",P0,P14,disgust,surprise,False,True,-0.1057431048728972
"('P0', 'P14')","('sadness', 'neutral')",P0,P14,sadness,neutral,False,True,-0.1547231886434763
"('P0', 'P14')","('sadness', 'fear')",P0,P14,sadness,fear,False,True,-0.2237453352842161
"('P0', 'P14')","('sadness', 'anger')",P0,P14,sadness,anger,False,True,-0.27101987995092
"('P0', 'P14')","('sadness', 'disgust')",P0,P14,sadness,disgust,False,True,0.1928659507434284
"('P0', 'P14')","('sadness', 'sadness')",P0,P14,sadness,sadness,True,True,0.1213024109295701
"('P0', 'P14')","('sadness', 'happiness')",P0,P14,sadness,happiness,False,True,-0.0962314880600541
"('P0', 'P14')","('sadness', 'surprise')",P0,P14,sadness,surprise,False,True,-0.1396895534346759
"('P0', 'P14')","('happiness', 'neutral')",P0,P14,happiness,neutral,False,True,-0.3070190881367988
"('P0', 'P14')","('happiness', 'fear')",P0,P14,happiness,fear,False,True,-0.1755928090706277
"('P0', 'P14')","('happiness', 'anger')",P0,P14,happiness,anger,False,True,-0.4014324699128614
"('P0', 'P14')","('happiness', 'disgust')",P0,P14,happiness,disgust,False,True,0.1334655437577468
"('P0', 'P14')","('happiness', 'sadness')",P0,P14,happiness,sadness,False,True,0.0908480567929017
"('P0', 'P14')","('happiness', 'happiness')",P0,P14,happiness,happiness,True,True,-0.0816008640206366
"('P0', 'P14')","('happiness', 'surprise')",P0,P14,happiness,surprise,False,True,-0.1332415060431837
"('P0', 'P14')","('surprise', 'neutral')",P0,P14,surprise,neutral,False,True,-0.006857624135962
"('P0', 'P14')","('surprise', 'fear')",P0,P14,surprise,fear,False,True,0.116983931675038
"('P0', 'P14')","('surprise', 'anger')",P0,P14,surprise,anger,False,True,-0.0026648116855377
